"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"42","Bowmore Sherry Cask Pursuit - Edition 01","ADDED — optional facts left blank","B52562","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | caskNumber | outturn | image","Single-cask and cask-strength status, natural colour, filtration, malt PPM, vintage, bottling year, cask number, outturn and flavor profile have no adequate release-specific proof. Leave them null. Series resolved and verified in pass 36. Tasting notes are read-only and not submitted. Source discrepancy: the announcement mentions American oak ex-bourbon maturation, but the exact packaging states Oloroso sherry (100%) and the specific product page gives Oloroso maturation. The saved maturation follows the exact packaging and product page; bourbon is not asserted. Exact clean stock image inspected and saved locally. Not uploaded: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://www.bowmore.com/en-gb/whiskies/20-year-old-sherry-cask-pursuit | https://www.suntoryglobalspirits.com/news/bowmore-releases-20-year-old-captivo-single-malt-collection-visionary-design-practice"
"43","Original source missing — old Bunnahabhain candidate only","SKIPPED — unresolved identity","B18334 (possible match only)","entire release","All three recovered observation sets checked. Only TSV ordinal 2330 survives: rejected B18334 Bunnahabhain 35-year-old 1971 vintage, because source title year 1989 was absent from the candidate. No original title, lot URL, ABV, age or bottler survives and the source index has no join. The 1989 clue alone cannot identify a release. No guessed data, Bottle or confirmed match.",""
"44","Kingsbury Dailuaine","ADDED — optional facts left blank","B52557","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay | image","Series, edition, cask strength, natural colour, chill filtration, malt PPM, release dates and flavor profile are not verified. Whiskybase calls the presentation Celtic Series, but no exact producer material or printed series wording confirms it. Leave series null and retain that claim as a flag. The brand owner's current page describes two other ranges, Cask Strength Series and Limited Editions Series; it does not identify these exact Celtic-style releases. Neither technical claims from those ranges nor the 46% reduced-strength policy is transferred to these bottles. Bottled 2025 does not prove releaseYear 2025. Physical bottle numbers and laser lot codes are not cask identifiers or release dates. Exact clean stock image inspected and saved locally. Not uploaded: the current JSON CLI does not accept multipart images. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5242720/dailuaine-1975-50-year-old | https://www.whiskybase.com/whiskies/whisky/282124/dailuaine-1975-kb?language=en"
"45","Original source missing — old 1792 candidate only","SKIPPED — unresolved identity","B13661 (possible match only)","entire release","All recovered observation sets checked. Only ordinal 2330 survives: rejected B13661 1792 12-year-old Kentucky Straight Bourbon, with no specific match. Original source title, lot URL and exact release facts are absent and no source join exists. A candidate is not proof of the source identity. No new Bottle, patch or confirmed match.",""
"46","Famous Grouse Finest Scotch Whisky","EXISTING — identity matched; no changes","B47033","name | bottler | noAgeStatement | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | maturation | caskNumber | outturn | description | flavorProfile","All three recovered candidates are the ordinary 40% Famous Grouse blend, in 70cl or 75cl older packaging. Exact source labels and B47033's stored retailer image agree with the core blend. All 12 Famous Grouse records reviewed; no separate edition established. Match B47033 without a new bottle, alias or reference. Identity match only, no production edit. Current ABV suffix in the name is generated; record for later name review, do not silently rename. Source names Matthew Gloag & Son as blender/bottler, but do not apply a historical bottler to an undated general record without reviewing its full scope. No bottling/release date inferred from old packaging or the 1980s estimate. Existing descriptive tasting claims and flavor profile were not independently validated; remaining technical facts stay unasserted.","https://whiskyauctioneer.com/whisky-lot/5280156/famous-grouse-finest-scotch-whisky | https://whiskyauctioneer.com/whisky-lot/5280154/famous-grouse-finest-scotch-whisky | https://whiskyauctioneer.com/whisky-lot/5283291/famous-grouse-finest-scotch-whisky | https://whiskys.co.uk/products/famous-grouse-finest-scotch-from-1980s-70cl-40 | https://www.ocado.com/products/the-famous-grouse-finest-blended-scotch-whisky/16530011"
"47","Kingsbury Glenburgie","ADDED — optional facts left blank","B52558","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay | image","Series, edition, cask strength, natural colour, chill filtration, malt PPM, release dates and flavor profile are not verified. Whiskybase calls the presentation Celtic Series, but no exact producer material or printed series wording confirms it. Leave series null and retain that claim as a flag. The brand owner's current page describes two other ranges, Cask Strength Series and Limited Editions Series; it does not identify these exact Celtic-style releases. Neither technical claims from those ranges nor the 46% reduced-strength policy is transferred to these bottles. Bottled 2025 does not prove releaseYear 2025. Physical bottle numbers and laser lot codes are not cask identifiers or release dates. Exact clean stock image inspected and saved locally. Not uploaded: the current JSON CLI does not accept multipart images. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5242724/glenburgie-1975-50-year-old | https://www.whiskybase.com/whiskies/whisky/282139/glenburgie-1975-kb?language=en"
"48","Glenfarclas 50 Year Old Collector Series III","SKIPPED — unresolved identity","B15940 (possible match only)","entire release","Skip; do not create or overwrite. Complete 202-Bottle Glenfarclas inventory and Family Collector search reviewed. B15940 is an age-50 record with no ABV, edition, year, image or release-specific description. Its only reference R2256 is the broad string Glenfarclas 50-year-old. It could be this 2015 Family Collector Series III release, but neither the record nor its reference proves that match. It was created in 2024, so date alone does not rule it out. All other age-50 records have explicit different vintages or casks, including B52435 at 43% from 1963/cask 174, not the 41.1% Series III. Do not add a possible duplicate or assign exact facts to the generic record. No production changes.","https://whiskyauctioneer.com/whisky-lot/5271916/glenfarclas-50-year-old-collector-series-iii | https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-50-year-old-family-collector-series-iii-whisky/ | https://www.whiskybase.com/whiskies/whisky/77854/glenfarclas-50-year-old | https://www.just-whisky.co.uk/product/glenfarclas-50-year-old-family-collector-series-iii-1370827 | https://www.sothebys.com/buy/eb8d7783-9e3e-486b-9af7-52b34d3adb7d/lots/a0d96dd6-f7d2-4da7-95cc-356b72a4d962"
"49","Original source missing — old Glenmorangie candidate only","SKIPPED — unresolved identity","B4478 (possible match only)","entire release","All recovered observation sets checked. Only ordinal 2330 survives: rejected B4478 Glenmorangie Ealanta Private Edition because title year 1993 was absent from its identity. No complete source title, lot URL, ABV or marketed edition survives, and no source join exists. Year 1993 and a rejected Ealanta proposal do not establish the original release. No guessed Bottle or confirmed match.",""
"50","North Star Spirits Inchfad - Cask Series 026","ADDED — optional facts left blank","B52565","maltPhenolPpm | releaseMonth | releaseDay | maturation | caskNumber | image","Cask number and malt PPM are not established. Oloroso maturation is verified, but the complete producer maturation statement on the curved label is not clear enough to copy; structured maturation remains null. Initial release month and day are unknown; neither the August bottling month nor the November announcement day is used. No UK suffix is printed on this release. Bottle serials 011 and 103 are not cask numbers. Exact retailer image saved locally. No upload: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8214157/inchfad-2007-cask-series-026-18-year-old | https://www.whiskybase.com/whiskies/whisky/285757/inchfad-2007-nss | https://whiskyexperts.net/sansibar-whisky-bringt-die-neue-cask-series-026-von-north-star-spirits-auf-den-deutschen-whiskymarkt/ | https://craftcellars.ca/products/north-star-inchfad-loch-lomond-18-year-old"
"51","Jack Daniel's Master Distiller Series No.5 - Frank 'Bobo' Thomas Litre","EXISTING — identity matched; no changes","B45509","name | edition | noAgeStatement | releaseYear | releaseMonth | releaseDay | description | imageSourceUrl | imageResolution","Exact identity match after the complete Jack Daniel's inventory and a fresh B45509 read. Stored edition No. 5, Master Distiller Series S121, E1079 roles and 43% agree. The existing image shows the silver Limited No. 5 Edition label and Frank Bobo box, matching the source. The 700ml/litre difference is packaging only. No create, patch, image replacement or name change. Current name/edition do not preserve the complete printed descriptor and still include generated ABV text. The exact existing image is low resolution with no source URL. No claim that all writable fields are enriched: NAS, release dates, technical flags and description remain as found. Specialist sources distinguish the initial 2016 litre release from later 700/750ml distribution; packaging alone is not a new Bottle.","https://whiskyauctioneer.com/whisky-lot/8213731/jack-daniels-master-distiller-series-no5-frank-bobo-thomas-litre | https://www.thewhiskyexchange.com/p/41434/jack-daniels-master-distiller-no-5 | https://www.finedrams.com/jack-daniels-master-distiller-no-5-whisky.html | https://www.jacks-safe.com/en/master-distiller-5-700ml-international.html | https://distiller.com/spirits/jack-daniel-s-master-distiller-series-no-5"
